,2024-S2,2025-S1
:be: Belgium,1764.0,1764.0
:bg: Bulgaria,806.0,931.0
:hr: Croatia,1124.0,1298.0
:cy: Cyprus,1076.0,1076.0
:cz: Czechia,849.0,935.0
:ee: Estonia,812.0,878.0
:fr: France,1575.0,1606.0
:de: Germany,1893.0,1992.0
:gr: Greece,1129.0,1129.0
:hu: Hungary,945.0,1030.0
:ie: Ireland,1565.0,1664.0
:lv: Latvia,853.0,902.0
:lt: Lithuania,1125.0,1264.0
:lu: Luxembourg,1919.0,1969.0
:mt: Malta,1017.0,1056.0
:nl: Netherlands,1825.0,1875.0
:pl: Poland,1404.0,1523.0
:pt: Portugal,1103.0,1170.0
:ro: Romania,1224.0,1340.0
:sk: Slovakia,895.0,973.0
:si: Slovenia,1401.0,1427.0
:es: Spain,1453.0,1517.0
:us: United States,837.0,837.0
